id,nome_poco,fase,tipo_poco,lda,diametro_fase,metragem,nfases
0,6C5G4M,1,VERTICAL,598,26,607,4
1,6C5G4M,2,VERTICAL,598,17 1/2,1306,4
2,6C5G4M,3,VERTICAL,598,12 1/4,1201,4
3,6C5G4M,4,VERTICAL,598,8 1/2,1445,4
4,8030JC,1,VERTICAL,0,17 1/2,410,3
5,8030JC,2,VERTICAL,0,12 1/4,1670,3
6,8030JC,3,VERTICAL,0,8 1/2,1498,3
7,9K474J,1,VERTICAL,134,42,79,3
8,9K474J,2,VERTICAL,134,28,995,3
9,9K474J,3,VERTICAL,134,22,1112,3
10,OYC6AY,1,VERTICAL,1801,26,352,7
11,OYC6AY,2,VERTICAL,1801,14 3/4,674,7
12,OYC6AY,3,VERTICAL,1801,16,0,7
13,OYC6AY,4,VERTICAL,1801,12 1/4,1079,7
14,OYC6AY,5,VERTICAL,1801,8 1/2,568,7
15,OYC6AY,6,VERTICAL,1801,8 15/32,9,7
16,OYC6AY,7,VERTICAL,1801,8 1/2,703,7
17,GQH3R4,1,VERTICAL,41.5,26,93,6
18,GQH3R4,2,VERTICAL,41.5,17 1/2,509,6
19,GQH3R4,3,VERTICAL,41.5,12 1/4,1844,6
20,GQH3R4,4,VERTICAL,41.5,8 1/2,493,6
21,GQH3R4,5,VERTICAL,41.5,8 15/32,6,6
22,GQH3R4,6,VERTICAL,41.5,8 1/2,644,6
23,U0AN10,1,VERTICAL,24,26,328,3
24,U0AN10,2,VERTICAL,24,17 1/2,1005,3
25,U0AN10,3,VERTICAL,24,12 1/4,235,3
26,P86A8J,1,VERTICAL,880,26,418,3
27,P86A8J,2,VERTICAL,880,16,886,3
28,P86A8J,3,VERTICAL,880,12 1/4,1489,3
29,7PCLH2,1,VERTICAL,2200,26,49,4
30,7PCLH2,2,VERTICAL,2200,17 1/2,460,4
31,7PCLH2,3,VERTICAL,2200,12 1/4,672,4
32,7PCLH2,4,VERTICAL,2200,8 1/2,1200,4
33,178N74,1,VERTICAL,1801,17 1/2,500,3
34,178N74,2,VERTICAL,1801,12 1/4,1225,3
35,178N74,3,VERTICAL,1801,8 1/2,315,3
36,T5GBJN,1,VERTICAL,1918,26,410,4
37,T5GBJN,2,VERTICAL,1918,16,954,4
38,T5GBJN,3,VERTICAL,1918,12 1/4,956,4
39,T5GBJN,4,VERTICAL,1918,8 1/2,965,4
40,48T9LT,1,VERTICAL,976,8 1/2,710,4
41,48T9LT,2,VERTICAL,976,26,50,4
42,48T9LT,3,VERTICAL,976,17 1/2,665,4
43,48T9LT,4,VERTICAL,976,12 1/4,3683,4
44,M626VM,1,VERTICAL,1147,36,62,3
45,M626VM,2,VERTICAL,1147,17 1/2,595,3
46,M626VM,3,VERTICAL,1147,12 1/4,1045,3
47,9SVE3I,1,DIRECIONAL,495,36,64,4
48,9SVE3I,2,DIRECIONAL,495,17 1/2,578,4
49,9SVE3I,3,DIRECIONAL,495,12 1/4,2083,4
50,9SVE3I,4,DIRECIONAL,495,8 1/2,1242,4
51,H43MYL,1,VERTICAL,295,36,66,5
52,H43MYL,2,VERTICAL,295,26,426,5
53,H43MYL,3,VERTICAL,295,17 1/2,1293,5
54,H43MYL,4,VERTICAL,295,12 1/4,1195,5
55,H43MYL,5,VERTICAL,295,8 1/2,932,5
56,US4486,1,VERTICAL,69,26,16,6
57,US4486,2,VERTICAL,69,26,64,6
58,US4486,3,VERTICAL,69,17 1/2,0,6
59,US4486,4,VERTICAL,69,12 1/4,570,6
60,US4486,5,VERTICAL,69,8 1/2,1514,6
61,US4486,6,VERTICAL,69,8 1/2,140,6
62,DJ943I,1,VERTICAL,859,26,61,6
63,DJ943I,2,VERTICAL,859,17 1/2,765,6
64,DJ943I,3,VERTICAL,859,12 1/4,1256,6
65,DJ943I,4,VERTICAL,859,12 1/4,5,6
66,DJ943I,5,VERTICAL,859,12 1/4,329,6
67,DJ943I,6,VERTICAL,859,8 1/2,715,6
68,4WE2M3,1,VERTICAL,2336,36,63,4
69,4WE2M3,2,VERTICAL,2336,26,492,4
70,4WE2M3,3,VERTICAL,2336,17 1/2,591,4
71,4WE2M3,4,VERTICAL,2336,12 1/4,1800,4
72,1E276T,1,VERTICAL,1025,36,64,4
73,1E276T,2,VERTICAL,1025,17 1/2,900,4
74,1E276T,3,VERTICAL,1025,12 1/4,1682,4
75,1E276T,4,VERTICAL,1025,8 1/2,1504,4
76,N79K9I,1,VERTICAL,18.7,26,456,6
77,N79K9I,2,VERTICAL,18.7,17 1/2,1337,6
78,N79K9I,3,VERTICAL,18.7,12 1/4,858,6
79,N79K9I,4,VERTICAL,18.7,8 15/32,18,6
80,N79K9I,5,VERTICAL,18.7,12 1/4,273,6
81,N79K9I,6,VERTICAL,18.7,8 1/2,541,6
82,9AT8LT,1,VERTICAL,18,26,450,8
83,9AT8LT,2,VERTICAL,18,17 1/2,1014,8
84,9AT8LT,3,VERTICAL,18,12 1/4,768,8
85,9AT8LT,4,VERTICAL,18,8 1/2,651,8
86,9AT8LT,5,VERTICAL,18,8 15/32,9,8
87,9AT8LT,6,VERTICAL,18,8 1/2,435,8
88,9AT8LT,7,VERTICAL,18,0,9,8
89,9AT8LT,7,VERTICAL,18,6 1/8,10,8
90,Z3LWHY,1,VERTICAL,17,26,460,8
91,Z3LWHY,2,VERTICAL,17,17 1/2,1132,8
92,Z3LWHY,3,VERTICAL,17,12 1/4,528,8
93,Z3LWHY,4,VERTICAL,17,8 15/32,9,8
94,Z3LWHY,5,VERTICAL,17,12 1/4,47,8
95,Z3LWHY,6,VERTICAL,17,8 15/32,9,8
96,Z3LWHY,7,VERTICAL,17,12 1/4,62,8
97,Z3LWHY,8,VERTICAL,17,8 15/32,9,8
98,9YOIY8,1,VERTICAL,20,17 1/2,630,2
99,9YOIY8,2,VERTICAL,20,12 1/4,1255,2
100,45X8IM,1,VERTICAL,15.6,26,464,6
101,45X8IM,2,VERTICAL,15.6,17 1/2,1108,6
102,45X8IM,3,VERTICAL,15.6,12 1/4,1441,6
103,45X8IM,4,VERTICAL,15.6,8 1/2,846,6
104,45X8IM,5,VERTICAL,15.6,8 15/32,18,6
105,45X8IM,6,VERTICAL,15.6,8 1/2,185,6
106,IB1A6I,1,VERTICAL,19.7,26,439,8
107,IB1A6I,2,VERTICAL,19.7,17 1/2,1119,8
108,IB1A6I,3,VERTICAL,19.7,12 1/4,985,8
109,IB1A6I,4,VERTICAL,19.7,8 1/2,1090,8
110,IB1A6I,5,VERTICAL,19.7,8 15/32,9,8
111,IB1A6I,6,VERTICAL,19.7,8 1/2,270,8
112,IB1A6I,7,VERTICAL,19.7,8 15/32,12,8
113,IB1A6I,8,VERTICAL,19.7,8 1/2,30,8
114,7M06B2,1,VERTICAL,0,17 1/2,142,3
115,7M06B2,2,VERTICAL,0,12 1/4,2363,3
116,7M06B2,3,VERTICAL,0,8 1/2,893,3
117,VTD43P,1,VERTICAL,167,26,303,4
118,VTD43P,2,VERTICAL,167,17 1/2,3,4
119,VTD43P,3,VERTICAL,167,12 1/4,751,4
120,VTD43P,4,VERTICAL,167,8 1/2,1344,4
121,8X2KY2,1,VERTICAL,189,36,71,4
122,8X2KY2,2,VERTICAL,189,26,324,4
123,8X2KY2,3,VERTICAL,189,17 1/2,1404,4
124,8X2KY2,4,VERTICAL,189,12 1/4,2663,4
125,XDQL9E,1,VERTICAL,139,26,328,8
126,XDQL9E,2,VERTICAL,139,17 1/2,1651,8
127,XDQL9E,3,VERTICAL,139,12 1/4,2249,8
128,XDQL9E,4,VERTICAL,139,8 1/2,313,8
129,XDQL9E,5,VERTICAL,139,8 15/32,16,8
130,XDQL9E,6,VERTICAL,139,8 1/2,13,8
131,XDQL9E,7,VERTICAL,139,8 15/32,18,8
132,XDQL9E,8,VERTICAL,139,8 1/2,43,8
133,IT4AKH,1,VERTICAL,152,26,327,4
134,IT4AKH,2,VERTICAL,152,17 1/2,1646,4
135,IT4AKH,3,VERTICAL,152,12 1/4,2115,4
136,IT4AKH,4,VERTICAL,152,8 1/2,1042,4
137,U0IBO4,1,VERTICAL,151,26,329,4
138,U0IBO4,2,VERTICAL,151,17 1/2,3151,4
139,U0IBO4,3,VERTICAL,151,12 1/4,2288,4
140,U0IBO4,4,VERTICAL,151,8 1/2,1246,4
141,YRHK33,1,VERTICAL,268,26,405,8
142,YRHK33,2,VERTICAL,268,17 1/2,1296,8
143,YRHK33,3,VERTICAL,268,12 1/4,2404,8
144,YRHK33,4,VERTICAL,268,8 1/2,685,8
145,YRHK33,5,VERTICAL,268,12 1/4,2634,8
146,YRHK33,6,VERTICAL,268,8 1/2,437,8
147,YRHK33,7,VERTICAL,268,8 15/32,5,8
148,YRHK33,8,VERTICAL,268,8 1/2,11,8
149,4933KY,1,VERTICAL,187,26,287,8
150,4933KY,2,VERTICAL,187,17 1/2,1401,8
151,4933KY,3,VERTICAL,187,12 1/4,2599,8
152,4933KY,4,VERTICAL,187,8 1/2,78,8
153,4933KY,5,VERTICAL,187,12 1/4,0,8
154,4933KY,6,VERTICAL,187,8 1/2,316,8
155,4933KY,7,VERTICAL,187,8 15/32,9,8
156,4933KY,8,VERTICAL,187,8 1/2,855,8
157,X3HU2D,1,VERTICAL,263,26,316,6
158,X3HU2D,2,VERTICAL,263,17 1/2,1506,6
159,X3HU2D,3,VERTICAL,263,12 1/4,1945,6
160,X3HU2D,4,VERTICAL,263,8 1/2,164,6
161,X3HU2D,5,VERTICAL,263,8 15/32,9,6
162,X3HU2D,6,VERTICAL,263,8 1/2,553,6
163,763Y64,1,VERTICAL,136,26,492,4
164,763Y64,2,VERTICAL,136,17 1/2,1445,4
165,763Y64,3,VERTICAL,136,12 1/4,2203,4
166,763Y64,4,VERTICAL,136,8 1/2,1022,4
167,4780B0,1,VERTICAL,195,26,279,4
168,4780B0,2,VERTICAL,195,17 1/2,1400,4
169,4780B0,3,VERTICAL,195,12 1/4,2440,4
170,4780B0,4,VERTICAL,195,8 1/2,1043,4
171,KMY0M3,1,VERTICAL,181,26,303,8
172,KMY0M3,2,VERTICAL,181,17 1/2,1491,8
173,KMY0M3,3,VERTICAL,181,12 1/4,2350,8
174,KMY0M3,4,VERTICAL,181,8 1/2,575,8
175,KMY0M3,5,VERTICAL,181,8 15/32,9,8
176,KMY0M3,6,VERTICAL,181,8 1/2,199,8
177,KMY0M3,7,VERTICAL,181,8 15/32,9,8
178,KMY0M3,8,VERTICAL,181,8 1/2,638,8
179,S35N6B,1,VERTICAL,831,26,405,3
180,S35N6B,2,VERTICAL,831,14 3/4,1154,3
181,S35N6B,3,VERTICAL,831,8 1/2,1002,3
182,MLY039,1,VERTICAL,132,26,353,4
183,MLY039,2,VERTICAL,132,17 1/2,1536,4
184,MLY039,3,VERTICAL,132,12 1/4,2325,4
185,MLY039,4,VERTICAL,132,8 1/2,828,4
186,06LH7H,1,VERTICAL,202,36,73,6
187,06LH7H,2,VERTICAL,202,26,255,6
188,06LH7H,3,VERTICAL,202,17 1/2,1544,6
189,06LH7H,4,VERTICAL,202,12 1/4,2012,6
190,06LH7H,5,VERTICAL,202,8 1/2,272,6
191,06LH7H,6,VERTICAL,202,6 1/2,10,6
192,06XGQW,1,VERTICAL,1515,26,319,8
193,06XGQW,2,VERTICAL,1515,16,553,8
194,06XGQW,3,VERTICAL,1515,12 1/4,130,8
195,06XGQW,4,VERTICAL,1515,8 15/32,9,8
196,06XGQW,5,VERTICAL,1515,12 1/4,230,8
197,06XGQW,6,VERTICAL,1515,8 15/32,9,8
198,06XGQW,7,VERTICAL,1515,12 1/4,71,8
199,06XGQW,8,VERTICAL,1515,8 15/32,18,8
200,3ZGZ74,1,VERTICAL,135,26,342,6
201,3ZGZ74,2,VERTICAL,135,17 1/2,1628,6
202,3ZGZ74,3,VERTICAL,135,12 1/4,2480,6
203,3ZGZ74,4,VERTICAL,135,8 1/2,475,6
204,3ZGZ74,5,VERTICAL,135,0,11,6
205,3ZGZ74,5,VERTICAL,135,5 7/8,421,6
206,JKDRRW,1,VERTICAL,135,26,319,6
207,JKDRRW,2,VERTICAL,135,17 1/2,1361,6
208,JKDRRW,3,VERTICAL,135,12 1/4,1264,6
209,JKDRRW,4,VERTICAL,135,8 1/2,9,6
210,JKDRRW,5,VERTICAL,135,12 1/4,760,6
211,JKDRRW,6,VERTICAL,135,8 1/2,825,6
212,4010DH,1,VERTICAL,195,26,329,4
213,4010DH,2,VERTICAL,195,17 1/2,1364,4
214,4010DH,3,VERTICAL,195,12 1/4,2400,4
215,4010DH,4,VERTICAL,195,8 1/2,1090,4
216,42DX93,1,VERTICAL,129,26,396,6
217,42DX93,2,VERTICAL,129,17 1/2,1506,6
218,42DX93,3,VERTICAL,129,12 1/4,2646,6
219,42DX93,4,VERTICAL,129,8 1/2,255,6
220,42DX93,5,VERTICAL,129,8 15/32,9,6
221,42DX93,6,VERTICAL,129,8 1/2,709,6
222,EE5X45,1,VERTICAL,1140,26,316,8
223,EE5X45,2,VERTICAL,1140,16,560,8
224,EE5X45,3,VERTICAL,1140,12 1/4,70,8
225,EE5X45,4,VERTICAL,1140,8 15/32,9,8
226,EE5X45,5,VERTICAL,1140,12 1/4,730,8
227,EE5X45,6,VERTICAL,1140,8 15/32,3,8
228,EE5X45,7,VERTICAL,1140,12 1/4,518,8
229,EE5X45,8,VERTICAL,1140,8 1/2,540,8
230,5OLX60,1,VERTICAL,1351,26,324,4
231,5OLX60,2,VERTICAL,1351,16,881,4
232,5OLX60,3,VERTICAL,1351,12 1/4,1483,4
233,5OLX60,4,VERTICAL,1351,8 1/2,761,4
234,UD57F0,1,VERTICAL,873,26,331,6
235,UD57F0,2,VERTICAL,873,16,580,6
236,UD57F0,3,VERTICAL,873,12 1/4,1330,6
237,UD57F0,4,VERTICAL,873,8 15/32,9,6
238,UD57F0,5,VERTICAL,873,12 1/4,185,6
239,UD57F0,6,VERTICAL,873,8 1/2,1513,6
240,UD3O5G,1,VERTICAL,585,26,341,4
241,UD3O5G,2,VERTICAL,585,16,692,4
242,UD3O5G,3,VERTICAL,585,12 1/4,1562,4
243,UD3O5G,4,VERTICAL,585,8 1/2,1023,4
244,769NJ8,1,VERTICAL,195,26,277,8
245,769NJ8,2,VERTICAL,195,17 1/2,1444,8
246,769NJ8,3,VERTICAL,195,12 1/4,2628,8
247,769NJ8,4,VERTICAL,195,8 1/2,101,8
248,769NJ8,5,VERTICAL,195,12 1/4,0,8
249,769NJ8,6,VERTICAL,195,8 1/2,984,8
250,769NJ8,7,VERTICAL,195,8 15/32,9,8
251,769NJ8,8,VERTICAL,195,8 1/2,124,8
252,DS2OE6,1,VERTICAL,1776,26,337,3
253,DS2OE6,2,VERTICAL,1776,16,873,3
254,DS2OE6,3,VERTICAL,1776,12 1/4,1750,3
255,T0XX71,1,VERTICAL,1361,26,550,8
256,T0XX71,2,VERTICAL,1361,12 1/4,435,8
257,T0XX71,3,VERTICAL,1361,8 15/32,9,8
258,T0XX71,4,VERTICAL,1361,16,336,8
259,T0XX71,5,VERTICAL,1361,12 1/4,430,8
260,T0XX71,6,VERTICAL,1361,8 15/32,9,8
261,T0XX71,7,VERTICAL,1361,12 1/4,1517,8
262,T0XX71,8,VERTICAL,1361,8 15/32,9,8
263,3036NM,1,VERTICAL,143,26,244,1
264,Y068P4,1,VERTICAL,143,26,347,7
265,Y068P4,2,VERTICAL,143,17 1/2,1495,7
266,Y068P4,3,VERTICAL,143,12 1/4,2389,7
267,Y068P4,4,VERTICAL,143,10 5/8,59,7
268,Y068P4,5,VERTICAL,143,8 1/2,8,7
269,Y068P4,6,VERTICAL,143,12 1/4,132,7
270,Y068P4,7,VERTICAL,143,8 1/2,1352,7
271,Z03RFY,1,VERTICAL,1513,26,372,8
272,Z03RFY,2,VERTICAL,1513,16,1195,8
273,Z03RFY,3,VERTICAL,1513,12 1/4,1211,8
274,Z03RFY,4,VERTICAL,1513,8 1/2,235,8
275,Z03RFY,5,VERTICAL,1513,8 15/32,9,8
276,Z03RFY,6,VERTICAL,1513,8 1/2,152,8
277,Z03RFY,7,VERTICAL,1513,8 15/32,9,8
278,Z03RFY,8,VERTICAL,1513,8 1/2,485,8
279,Z3N80C,1,VERTICAL,337,26,441,3
280,Z3N80C,2,VERTICAL,337,12 1/4,1546,3
281,Z3N80C,3,VERTICAL,337,8 1/2,1648,3
282,1H632R,1,VERTICAL,1615,26,368,2
283,1H632R,2,VERTICAL,1615,8 1/2,0,2
284,2H817Q,1,VERTICAL,1615,26,370,3
285,2H817Q,2,VERTICAL,1615,16,1003,3
286,2H817Q,3,VERTICAL,1615,12 1/4,936,3
287,6UG90D,1,VERTICAL,1800,26,490,3
288,6UG90D,2,VERTICAL,1800,12 1/4,1105,3
289,6UG90D,3,VERTICAL,1800,8 1/2,539,3
290,DISMK4,1,VERTICAL,974,36,84,5
291,DISMK4,2,VERTICAL,974,26,816,5
292,DISMK4,3,VERTICAL,974,17 1/2,1475,5
293,DISMK4,4,VERTICAL,974,12 1/4,1483,5
294,DISMK4,5,VERTICAL,974,8 1/2,247,5
295,0D35O2,1,VERTICAL,2130,42,89,6
296,0D35O2,2,VERTICAL,2130,26,663,6
297,0D35O2,3,VERTICAL,2130,17 1/2,592,6
298,0D35O2,4,VERTICAL,2130,12 1/4,910,6
299,0D35O2,4,VERTICAL,2130,8 1/2,0,6
300,0D35O2,5,VERTICAL,2130,8 1/2,1563,6
301,YKA9AM,1,VERTICAL,1314,36,82,4
302,YKA9AM,2,VERTICAL,1314,26,587,4
303,YKA9AM,3,VERTICAL,1314,17 1/2,1005,4
304,YKA9AM,4,VERTICAL,1314,12 1/4,1077,4
305,C3NU78,1,VERTICAL,1934,36,86,4
306,C3NU78,2,VERTICAL,1934,26,518,4
307,C3NU78,3,VERTICAL,1934,17 1/2,991,4
308,C3NU78,4,VERTICAL,1934,12 1/4,1531,4
309,2PDQ2A,1,VERTICAL,1928,36,80,5
310,2PDQ2A,2,VERTICAL,1928,26,874,5
311,2PDQ2A,3,VERTICAL,1928,17 1/2,1064,5
312,2PDQ2A,4,VERTICAL,1928,12 1/4,913,5
313,2PDQ2A,5,VERTICAL,1928,8 1/2,938,5
314,4462G8,1,VERTICAL,0,12 1/4,303,2
315,4462G8,2,VERTICAL,0,8 1/2,598,2
316,J7H76J,1,VERTICAL,0,12 1/4,305,2
317,J7H76J,2,VERTICAL,0,8 1/2,547,2
318,NA1EHV,1,VERTICAL,0,12 1/4,300,2
319,NA1EHV,2,VERTICAL,0,8 1/2,442,2
320,1TW9HV,1,VERTICAL,1907,36,86,4
321,1TW9HV,2,VERTICAL,1907,26,695,4
322,1TW9HV,3,VERTICAL,1907,17 1/2,1016,4
323,1TW9HV,4,VERTICAL,1907,12 1/4,283,4
324,6YYR78,1,0,1671,36,63,1
325,63LK58,1,DIRECIONAL,1673,36,87,4
326,63LK58,2,DIRECIONAL,1673,17 1/2,691,4
327,63LK58,3,DIRECIONAL,1673,12 1/4,1519,4
328,63LK58,4,DIRECIONAL,1673,8 1/2,664,4
329,NI9KA0,1,VERTICAL,2483,26,440,4
330,NI9KA0,2,VERTICAL,2483,17 1/2,343,4
331,NI9KA0,3,VERTICAL,2483,12 1/4,597,4
332,NI9KA0,4,VERTICAL,2483,8 1/2,668,4
333,T81QPT,1,VERTICAL,1246,26,11,4
334,T81QPT,2,VERTICAL,1246,16,798,4
335,T81QPT,3,VERTICAL,1246,12 1/4,947,4
336,T81QPT,4,VERTICAL,1246,8 1/2,858,4
337,J92V9Y,1,VERTICAL,800,16,1008,2
338,J92V9Y,2,VERTICAL,800,12 1/4,1994,2
339,4D5KM8,1,VERTICAL,1374,26,617,1
340,BLSL9L,1,VERTICAL,1374,36,61,5
341,BLSL9L,2,VERTICAL,1374,26,556,5
342,BLSL9L,3,VERTICAL,1374,16,1158,5
343,BLSL9L,4,VERTICAL,1374,12 1/4,1177,5
344,BLSL9L,5,VERTICAL,1374,8 1/2,462,5
345,7662VN,1,VERTICAL,1583,17 1/2,44,1
346,Y33785,1,VERTICAL,1583,36,65,3
347,Y33785,2,VERTICAL,1583,17 1/2,992,3
348,Y33785,3,VERTICAL,1583,12 1/4,1303,3
349,H59374,1,VERTICAL,22.5,26,441,5
350,H59374,2,VERTICAL,22.5,17 1/2,1553,5
351,H59374,3,VERTICAL,22.5,12 1/4,1727,5
352,H59374,4,VERTICAL,22.5,8 1/2,375,5
353,H59374,5,VERTICAL,22.5,8 15/32,17,5
354,5S0390,1,VERTICAL,1286,30,45,5
355,5S0390,2,VERTICAL,1286,17 1/2,1056,5
356,5S0390,3,VERTICAL,1286,12 1/4,1419,5
357,5S0390,4,VERTICAL,1286,8 1/2,1006,5
358,5S0390,5,VERTICAL,1286,6 1/8,138,5
359,48Z390,1,VERTICAL,2257,17 1/2,851,2
360,48Z390,2,VERTICAL,2257,12 1/4,1709,2
361,3G12DU,1,VERTICAL,1426,17 1/2,860,2
362,3G12DU,2,VERTICAL,1426,12 1/4,1390,2
363,6R8551,1,VERTICAL,1478,26,63,3
364,6R8551,2,VERTICAL,1478,17 1/2,467,3
365,6R8551,3,VERTICAL,1478,12 1/4,942,3
366,YPA50Z,1,VERTICAL,1779,17 1/2,624,2
367,YPA50Z,2,VERTICAL,1779,12 1/4,747,2
368,B6GAE7,1,VERTICAL,1464,26,49,3
369,B6GAE7,2,VERTICAL,1464,17 1/2,375,3
370,B6GAE7,3,VERTICAL,1464,12 1/4,1690,3
371,5P7041,1,VERTICAL,2003,36,50,5
372,5P7041,2,VERTICAL,2003,26,429,5
373,5P7041,3,VERTICAL,2003,16,995,5
374,5P7041,4,VERTICAL,2003,12 1/4,1412,5
375,5P7041,5,VERTICAL,2003,8 1/2,1493,5
376,C9JM7P,1,VERTICAL,1338,36,61,3
377,C9JM7P,2,VERTICAL,1338,17 1/2,464,3
378,C9JM7P,3,VERTICAL,1338,12 1/4,1544,3
379,8HAD9O,1,VERTICAL,1496,26,50,3
380,8HAD9O,2,VERTICAL,1496,17 1/2,441,3
381,8HAD9O,3,VERTICAL,1496,12 1/4,1014,3
382,VZAH42,1,VERTICAL,1374,26,74,4
383,VZAH42,2,VERTICAL,1374,17 1/2,1026,4
384,VZAH42,3,VERTICAL,1374,12 1/4,1738,4
385,VZAH42,4,VERTICAL,1374,8 1/2,476,4
386,42AVRA,1,VERTICAL,2042,26,52,3
387,42AVRA,2,VERTICAL,2042,17 1/2,795,3
388,42AVRA,3,VERTICAL,2042,12 1/4,1099,3
389,05F2V9,1,VERTICAL,1473,26,62,3
390,05F2V9,2,VERTICAL,1473,17 1/2,663,3
391,05F2V9,3,VERTICAL,1473,12 1/4,1017,3
392,3R9735,1,VERTICAL,1389,17 1/2,706,2
393,3R9735,2,VERTICAL,1389,12 1/4,1305,2
394,92P41E,1,VERTICAL,2053,17 1/2,26,2
395,92P41E,2,VERTICAL,2053,26,62,2
396,85V11Z,1,VERTICAL,2059,26,62,3
397,85V11Z,2,VERTICAL,2059,17 1/2,276,3
398,85V11Z,3,VERTICAL,2059,12 1/4,875,3
399,90NP3Y,1,VERTICAL,1900,16,892,2
400,90NP3Y,2,VERTICAL,1900,12 1/4,1383,2
401,ZW0XNY,1,VERTICAL,1864,17 1/2,682,3
402,ZW0XNY,2,VERTICAL,1864,12 1/4,1990,3
403,ZW0XNY,3,VERTICAL,1864,8 1/2,150,3
404,76BR6X,1,VERTICAL,2666,26,812,7
405,76BR6X,2,VERTICAL,2666,17 1/2,928,7
406,76BR6X,3,VERTICAL,2666,22,318,7
407,76BR6X,4,VERTICAL,2666,17 1/2,20,7
408,76BR6X,4,VERTICAL,2666,22,428,7
409,76BR6X,5,VERTICAL,2666,12 1/4,1423,7
410,76BR6X,6,VERTICAL,2666,8 1/2,416,7
411,SHX804,1,VERTICAL,1951,36,50,4
412,SHX804,2,VERTICAL,1951,17 1/2,1141,4
413,SHX804,3,VERTICAL,1951,12 1/4,2214,4
414,SHX804,4,VERTICAL,1951,8 1/2,870,4
415,S5LMS8,1,VERTICAL,1653,36,61,4
416,S5LMS8,2,VERTICAL,1653,17 1/2,897,4
417,S5LMS8,3,VERTICAL,1653,12 1/4,1534,4
418,S5LMS8,4,VERTICAL,1653,8 1/2,184,4
419,6RI77S,1,VERTICAL,1652,36,51,2
420,6RI77S,2,VERTICAL,1652,26,443,2
421,835619,1,VERTICAL,1648,36,50,8
422,835619,2,VERTICAL,1648,26,482,8
423,835619,3,VERTICAL,1648,16,1300,8
424,835619,4,VERTICAL,1648,12 1/4,1670,8
425,835619,5,VERTICAL,1648,8 1/2,164,8
426,835619,6,VERTICAL,1648,6 1/8,0,8
427,835619,7,VERTICAL,1648,8 1/2,0,8
428,835619,8,VERTICAL,1648,6 1/8,402,8
429,P8HRX4,1,VERTICAL,1730,36,60,6
430,P8HRX4,2,VERTICAL,1730,26,900,6
431,P8HRX4,3,VERTICAL,1730,16,30,6
432,P8HRX4,4,VERTICAL,1730,14 3/4,469,6
433,P8HRX4,5,VERTICAL,1730,12 1/4,1203,6
434,P8HRX4,6,VERTICAL,1730,8 1/2,1042,6
435,23368M,1,VERTICAL,1200,36,62,4
436,23368M,2,VERTICAL,1200,17 1/2,952,4
437,23368M,3,VERTICAL,1200,26,952,4
438,23368M,4,VERTICAL,1200,12 1/4,1284,4
439,UYLM15,1,VERTICAL,867,36,62,3
440,UYLM15,2,VERTICAL,867,17 1/2,1119,3
441,UYLM15,3,VERTICAL,867,12 1/4,2550,3
442,FOR0M5,1,VERTICAL,700,36,63,2
443,FOR0M5,2,VERTICAL,700,26,261,2
444,Y6R37D,1,VERTICAL,700,36,64,5
445,Y6R37D,2,VERTICAL,700,26,307,5
446,Y6R37D,3,VERTICAL,700,16,1186,5
447,Y6R37D,4,VERTICAL,700,12 1/4,1188,5
448,Y6R37D,5,VERTICAL,700,8 1/2,1269,5
449,YVQG42,1,DIRECIONAL,60,36,64,8
450,YVQG42,2,DIRECIONAL,60,26,338,8
451,YVQG42,3,DIRECIONAL,60,17 1/2,1165,8
452,YVQG42,4,DIRECIONAL,60,12 1/4,1504,8
453,YVQG42,5,DIRECIONAL,60,8 1/2,1496,8
454,YVQG42,6,DIRECIONAL,60,6 1/8,0,8
455,YVQG42,7,DIRECIONAL,60,8 1/2,0,8
456,YVQG42,8,DIRECIONAL,60,6 1/8,365,8
457,8QC181,1,VERTICAL,1798,36,63,4
458,8QC181,2,VERTICAL,1798,26,625,4
459,8QC181,3,VERTICAL,1798,17 1/2,1998,4
460,8QC181,4,VERTICAL,1798,12 1/4,1063,4
461,37E85M,1,VERTICAL,74,36,64,6
462,37E85M,2,VERTICAL,74,26,367,6
463,37E85M,3,VERTICAL,74,17 1/2,1124,6
464,37E85M,4,VERTICAL,74,12 1/4,2496,6
465,37E85M,5,VERTICAL,74,8 1/2,972,6
466,37E85M,6,VERTICAL,74,6 1/8,442,6
467,J870PO,1,VERTICAL,1177,36,51,3
468,J870PO,2,VERTICAL,1177,17 1/2,713,3
469,J870PO,3,VERTICAL,1177,12 1/4,1257,3
470,195QY5,1,DIRECIONAL,1228,36,45,4
471,195QY5,2,DIRECIONAL,1228,26,470,4
472,195QY5,3,DIRECIONAL,1228,16,973,4
473,195QY5,4,DIRECIONAL,1228,12 1/4,1973,4
474,164GL5,1,VERTICAL,1609,26,61,4
475,164GL5,2,VERTICAL,1609,17 1/2,555,4
476,164GL5,3,VERTICAL,1609,12 1/4,1328,4
477,164GL5,4,VERTICAL,1609,8 1/2,157,4
478,E3XSEN,1,VERTICAL,1878,36,60,5
479,E3XSEN,2,VERTICAL,1878,26,565,5
480,E3XSEN,3,VERTICAL,1878,17 1/2,990,5
481,E3XSEN,4,VERTICAL,1878,12 1/4,1348,5
482,E3XSEN,5,VERTICAL,1878,8 1/2,351,5
